,제공기관명,관리번호,공원명,공원구분,소재지지번주소,위도,경도,공원면적,지정고시일,데이터기준일자,시도,자치구
170,서울특별시 강남구,11680-00080,역삼은행나무공원,어린이공원,서울특별시 강남구 역삼동 611,37.505409,,1647.1,,2020-08-27,서울특별시,강남구
171,서울특별시 강남구,11680-00081,대치목련공원,어린이공원,서울특별시 강남구 대치동 929-10,37.49982553,127.0581713,1649.1,,2020-08-27,서울특별시,강남구
172,서울특별시 강남구,11680-00082,대치까치공원,어린이공원,서울특별시 강남구 대치동 1014-4,37.496941,127.058458,992.2,,2020-08-27,서울특별시,강남구
173,서울특별시 강남구,11680-00083,대치은행나무공원,어린이공원,서울특별시 강남구 대치동 899-25,37.501649,127.0515319,1618.7,,2020-08-27,서울특별시,강남구
174,서울특별시 강남구,11680-00084,개포까치공원,어린이공원,서울특별시 강남구 개포동 169-3,37.48370515,127.0608782,1690.2,,2020-08-27,서울특별시,강남구
175,서울특별시 강남구,11680-00085,개포공원,어린이공원,서울특별시 강남구 개포동 190,37.485235,127.067125,4793.8,,2020-08-27,서울특별시,강남구
176,서울특별시 강남구,11680-00086,개포개나리공원,어린이공원,서울특별시 강남구 개포동 190,37.485235,127.067125,1500.6,,2020-08-27,서울특별시,강남구
177,서울특별시 강남구,11680-00087,개포은행나무공원,어린이공원,서울특별시 강남구 개포동 1220,37.47602964,127.0492625,1641.7,,2020-08-27,서울특별시,강남구
178,서울특별시 강남구,11680-00088,개포목련공원,어린이공원,서울특별시 강남구 개포동 1176,37.474238,127.043675,1639.1,,2020-08-27,서울특별시,강남구
179,서울특별시 강남구,11680-00089,일원은행나무공원,어린이공원,서울특별시 강남구 일원동 615-2,37.492002,127.068214,1500.3,,2020-08-27,서울특별시,강남구
181,서울특별시 강남구,11680-00031,길섶근린공원,근린공원,서울특별시 강남구 역삼동 757-1,37.498081,127.046708,1580.6,,2020-08-27,서울특별시,강남구
182,서울특별시 강남구,11680-00032,매봉근린공원,근린공원,서울특별시 강남구 도곡동 527-7,37.492589,127.045762,6146.9,,2020-08-27,서울특별시,강남구
183,서울특별시 강남구,11680-00033,봉은근린공원,근린공원,서울특별시 강남구 역삼동 754-4,37.498247,127.047136,1147.7,,2020-08-27,서울특별시,강남구
184,서울특별시 강남구,11680-00034,배꽃근린공원,근린공원,서울특별시 강남구 삼성동 11-3,37.516663,127.040299,1592.9,,2020-08-27,서울특별시,강남구
185,서울특별시 강남구,11680-00035,반달근린공원,근린공원,서울특별시 강남구 삼성동 7-4,,127.040616,679.3,,2020-08-27,서울특별시,강남구
186,서울특별시 강남구,11680-00036,샘터근린공원,근린공원,서울특별시 강남구 삼성동 16-4,37.514379,127.060169,1799.5,,2020-08-27,서울특별시,강남구
187,서울특별시 강남구,11680-00037,학봉근린공원,근린공원,서울특별시 강남구 삼성동 50-3,,127.053987,1343.0,,2020-08-27,서울특별시,강남구
188,서울특별시 강남구,11680-00038,큰골근린공원,근린공원,서울특별시 강남구 대치동 888-3,37.494313,,1688.1,,2020-08-27,서울특별시,강남구
189,서울특별시 강남구,11680-00039,새뜰근린공원,근린공원,서울특별시 강남구 역삼동 765-30,37.497183,127.046607,427.6,,2020-08-27,서울특별시,강남구
190,서울특별시 강남구,11680-00040,수서제2근린공원,근린공원,서울특별시 강남구 수서동 749 외 1필지,,127.084338,44587.5,,2020-08-27,서울특별시,강남구
191,서울특별시 강남구,11680-00041,수서택지개발(대모산부근),근린공원,서울특별시 강남구 일원동 732-3 외 4필지,,127.076069,11588.6,,2020-08-27,서울특별시,강남구
192,서울특별시 강남구,11680-00042,수서택지개발(광평부근),근린공원,서울특별시 강남구 수서동 737-1 외 11필지,37.487307,127.092754,7569.1,,2020-08-27,서울특별시,강남구
